id;ccode1;ccode2;year;trade1;trade2
25762;31;402;2009;-9;0
25797;31;403;2009;-9;-9
25833;31;404;2009;0;-9
25870;31;411;2009;-9;-9
25907;31;420;2009;0;0
25944;31;432;2009;-9;0
25981;31;433;2009;0;0.01
26018;31;434;2009;0;0
26055;31;435;2009;-9;-9
26092;31;436;2009;-9;0
26129;31;437;2009;0.02;0.02
26166;31;438;2009;0;0
26203;31;439;2009;-9;-9
26240;31;450;2009;0.05;0
26277;31;451;2009;0;0
26314;31;452;2009;0;0
26351;31;461;2009;0;0
26388;31;471;2009;0.67;0
26425;31;475;2009;0;1.6
26462;31;481;2009;0.01;0
26499;31;482;2009;-9;-9
26536;31;483;2009;-9;-9
26573;31;484;2009;0;0
26610;31;490;2009;0;0
26647;31;500;2009;0;0
26684;31;501;2009;0.3;0.04
26721;31;510;2009;0;0
26758;31;516;2009;-9;-9
26795;31;517;2009;-9;-9
26832;31;520;2009;0;0
26865;31;522;2009;-9;-9
26902;31;530;2009;0;-9
26919;31;531;2009;-9;-9
26954;31;540;2009;0;0
26989;31;541;2009;-9;-9
27026;31;551;2009;0;0
27063;31;552;2009;0;0
27100;31;553;2009;0;0
27137;31;560;2009;0.75;24.76
27157;31;565;2009;-9;-9
27194;31;570;2009;-9;-9
27231;31;571;2009;-9;-9
27268;31;572;2009;-9;-9
27305;31;580;2009;0.25;0
27340;31;581;2009;-9;-9
27377;31;590;2009;0.1;0.04
27411;31;591;2009;0;0
27448;31;600;2009;0.02;0.3
27485;31;615;2009;179.44;0
27522;31;616;2009;0.04;0.05
27559;31;620;2009;0;0
27596;31;625;2009;-9;-9
27633;31;630;2009;0;0
27670;31;640;2009;6.39;4.36
27707;31;645;2009;0;0
27744;31;651;2009;0;0
27781;31;652;2009;0;0
27818;31;660;2009;0;0.14
27855;31;663;2009;-9;-9
27892;31;666;2009;0.11;0
27929;31;670;2009;71.66;0.03
27967;31;679;2009;0.1;0
28022;31;690;2009;0;0
28059;31;692;2009;0;0.13
28096;31;694;2009;0;-9
28133;31;696;2009;0;0.63
28170;31;698;2009;0;0
28207;31;700;2009;0;0
28226;31;701;2009;3.82;0.02
28245;31;702;2009;0;0
28264;31;703;2009;0;0
28283;31;704;2009;-9;-9
28302;31;705;2009;56.86;0.62
28339;31;710;2009;461.29;0.4
28376;31;712;2009;-9;0
28413;31;713;2009;-9;-9
28450;31;731;2009;0.45;0
28487;31;732;2009;1340.6;0.22
28524;31;740;2009;1442.76;65.18
28561;31;750;2009;564.19;0.44
28598;31;760;2009;-9;-9
28635;31;770;2009;0.05;0.03
28672;31;771;2009;0;0
28709;31;775;2009;-9;-9
28746;31;780;2009;0;0
28783;31;781;2009;-9;0.06
28820;31;790;2009;-9;-9
28857;31;800;2009;2.46;1.94
28894;31;811;2009;-9;-9
28931;31;812;2009;-9;-9
28968;31;816;2009;0;0
29008;31;820;2009;2.62;2.4
29045;31;830;2009;583.93;437.66
29071;31;835;2009;0;0
29108;31;840;2009;2.4;0.04
29145;31;850;2009;0.58;0.37
29153;31;860;2009;-9;-9
29190;31;900;2009;4.04;2.08
29225;31;910;2009;-9;0
29262;31;920;2009;0.95;0.1
29291;31;935;2009;-9;0
29323;31;940;2009;0;0
29334;31;946;2009;-9;-9
29344;31;947;2009;-9;-9
29381;31;950;2009;0;0
29392;31;955;2009;0;0
29403;31;970;2009;-9;-9
29422;31;983;2009;-9;-9
29438;31;986;2009;-9;-9
29457;31;987;2009;-9;-9
29491;31;990;2009;0.02;0.92
29579;40;41;2009;0;15.54
29678;40;42;2009;27.12;19.65
29726;40;51;2009;4.22;4.01
29774;40;52;2009;40.45;0.64
29818;40;53;2009;0.01;0.32
29850;40;54;2009;0;0
29886;40;55;2009;0;0.07
29917;40;56;2009;0;0.21
29948;40;57;2009;0;0.01
29977;40;58;2009;-9;-9
30004;40;60;2009;-9;0
30110;40;70;2009;275.88;14.41
30139;40;80;2009;0.26;70.29
30245;40;90;2009;25.03;1.59
30351;40;91;2009;1.58;7.89
30457;40;92;2009;4.54;0.15
30563;40;93;2009;1.8;2.98
30653;40;94;2009;16.06;8.55
30743;40;95;2009;2.25;22.08
30849;40;100;2009;39.23;8.24
30955;40;101;2009;2693.64;259.88
30999;40;110;2009;25.45;72.87
31034;40;115;2009;0.61;0.13
31140;40;130;2009;11.33;2.85
31246;40;135;2009;10.33;0.97
31352;40;140;2009;295.84;58.71
31458;40;145;2009;0.06;2.09
31564;40;150;2009;0.02;0.66
31670;40;155;2009;41.18;4.6
31776;40;160;2009;57.3;3.71
31882;40;165;2009;56.75;0.54
31988;40;200;2009;15.12;13.34
32076;40;205;2009;1.25;0.2
32178;40;210;2009;101.09;108.94
32280;40;211;2009;26.04;18.06
32367;40;212;2009;0.43;0
32472;40;220;2009;116.94;20.22
32489;40;221;2009;-9;-9
32509;40;223;2009;-9;-9
32615;40;225;2009;21.91;28.77
